범죄분류,계,일,월,화,수,목,금,토
살인기수,372,47,59,68,56,49,45,48
살인미수등,541,73,74,85,82,87,74,66
강도,1586,220,240,209,225,231,226,235
강간,5078,789,628,697,673,680,746,865
유사강간,375,65,46,53,47,44,45,75
강제추행,14611,2126,1901,2129,2042,2045,2071,2297
기타강간·강제추행등,991,159,131,165,130,125,128,153
방화,1723,279,233,237,221,233,243,277
절도범죄,266222,36895,35699,36970,36689,36805,40471,42693
상해,50281,7462,6537,7217,6888,7013,7236,7928
폭행,132920,20924,16507,17984,18258,17897,19132,22218
체포·감금,945,106,136,170,145,110,136,142
협박,5187,628,779,784,780,774,788,654
약취·유인,198,26,27,32,32,34,27,20
폭력행위등,37689,6338,4813,4987,4954,5051,5187,6359
공갈,4862,563,705,782,683,713,743,673
손괴,57997,8446,7469,7759,7899,7914,8858,9652
직무유기,577,43,121,75,97,88,112,41
직권남용,364,29,60,60,52,58,65,40
증수뢰,251,18,35,32,53,44,38,31
통화,2770,149,547,507,467,466,483,151
문서·인장,14441,756,2799,2511,2457,2494,2412,1012
유가증권인지,360,21,65,66,54,69,58,27
사기,238409,18083,40767,40381,39182,39064,39947,20985
횡령,37024,3904,5528,5729,5544,5435,6116,4768
배임,4456,298,722,794,747,726,842,327
성풍속범죄,16683,1997,2292,2689,2532,2560,2563,2050
도박범죄,8293,1071,1055,1273,1261,1215,1296,1122
특별경제범죄,72908,7461,11928,11706,11536,10981,11312,7984
마약범죄,4825,538,766,740,714,717,696,654
보건범죄,14657,917,2503,2634,2563,2479,2276,1285
환경범죄,2536,177,450,464,430,407,428,180
교통범죄,573493,74665,76089,80751,81707,82368,89157,88756
노동범죄,1308,42,188,181,163,192,479,63
안보범죄,84,10,9,18,13,14,13,7
선거범죄,1874,212,268,282,317,302,265,228
병역범죄,21549,206,5174,5263,3419,3861,3444,182
기타,180526,19471,26773,28497,28295,27137,27629,22724
