수법소분류,발생건수,구성비(%),검거건수,구성비(%)
빈집절도,"23,753",8.9,"8,377",7
사무실절도,"3,615",1.4,"1,653",1.4
공장절도,"1,393",0.5,992,0.8
상점절도,"17,875",6.7,"10,723",9
숙박업소절도,"1,079",0.4,501,0.4
침입절도(기타),"34,605",13,"18,882",15.8
소매치기절도,"1,454",0.5,398,0.3
날치기절도,746,0.3,263,0.2
치기절도(기타),"4,409",1.7,"2,572",2.2
들치기절도,"23,128",8.7,"10,445",8.7
속임수절도,"2,967",1.1,"1,961",1.6
비침입절도(기타),"94,644",35.6,"43,757",36.6
차량절도,"5,636",2.1,"2,515",2.1
오토바이절도,"13,365",5,"3,739",3.1
자전거절도,"22,357",8.4,"3,939",3.3
축산물절도,571,0.2,178,0.1
기타(기타),"8,914",3.3,"4,023",3.4
미상,"5,711",2.1,"4,549",3.8
