범죄대분류,범죄중분류,계,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상
강력범죄,살인기수,365,21,37,30,47,37,40,51,57,45
강력범죄,살인미수등,564,52,48,43,54,46,72,85,99,65
강력범죄,강도,"1,446",232,262,79,105,97,91,145,184,251
강력범죄,강간,"5,151",601,734,320,340,273,267,331,596,"1,689"
강력범죄,유사강간,518,71,72,39,19,36,30,45,55,151
강력범죄,강제추행,"15,059","1,460","1,575","1,213",890,"1,011","1,374","1,804","2,596","3,136"
강력범죄,기타 강간 강제추행등,558,63,72,23,36,32,45,53,54,180
강력범죄,방화,"1,673",186,164,114,149,157,190,253,302,158
절도범죄,절도,"245,853","19,591","19,544","16,573","26,273","29,383","32,602","35,746","30,550","35,591"
폭력범죄,상해,"48,005","5,536","4,464","2,792","3,757","3,619","4,594","5,967","9,874","7,402"
폭력범죄,폭행,"149,278","20,562","16,200","8,169","9,794","9,944","12,511","19,528","35,870","16,700"
폭력범죄,체포 감금,"1,028",65,68,45,136,97,126,142,150,199
폭력범죄,협박,"9,187",540,400,467,"1,045",879,998,"1,289","1,395","2,174"
폭력범죄,약취 유인,190,6,5,10,22,23,35,21,21,47
폭력범죄,폭력행위등,"35,686","4,878","4,422","2,023","2,292","2,242","3,055","4,434","7,543","4,797"
폭력범죄,공갈,"3,596",143,85,93,313,291,387,510,417,"1,357"
폭력범죄,손괴,"58,977","5,681","4,597","3,860","5,208","4,560","6,117","10,103","11,968","6,883"
지능범죄,직무유기,507,5,3,4,110,50,25,7,10,293
지능범죄,직권남용,401,11,16,2,98,28,29,18,24,175
지능범죄,증수뢰,247,-,-,1,27,13,6,16,5,179
지능범죄,통화,"1,822",18,21,58,334,187,179,86,50,889
지능범죄,문서 인장,"14,546",201,143,118,"2,866","1,073",566,402,385,"8,792"
지능범죄,유가증권인지,282,-,3,-,58,33,18,10,1,159
지능범죄,사기,"247,293","5,435","3,870","2,687","42,233","23,620","16,566","11,737","10,452","130,693"
지능범죄,횡령,"46,734","1,943","1,671","1,514","6,648","4,206","4,043","4,149","4,288","18,272"
지능범죄,배임,"4,289",16,2,2,998,373,77,36,13,"2,772"
풍속범죄,성풍속범죄,"16,219",525,383,"1,094","1,182","1,406","2,086","1,992","1,919","5,632"
풍속범죄,도박범죄,"8,272",264,181,105,478,545,"1,082","1,461","1,556","2,600"
특별경제범죄,특별경제범죄,"86,329","2,830","2,176","1,841","10,190","7,687","7,436","7,112","10,380","36,677"
마약범죄,마약범죄,"6,411",178,135,92,476,578,572,611,548,"3,221"
보건범죄,보건범죄,"14,602",530,299,134,"1,905","1,163","1,518",990,"1,693","6,370"
환경범죄,환경범죄,"2,955",29,32,80,747,282,305,79,64,"1,337"
교통범죄,교통범죄,"596,665","42,233","35,125","49,475","59,046","60,036","73,760","83,198","152,143","41,649"
노동범죄,노동범죄,"1,145",22,10,3,222,43,21,25,89,710
안보범죄,안보범죄,121,4,5,7,14,16,8,9,3,55
선거범죄,선거범죄,760,1,1,24,148,56,38,32,12,448
병역범죄,병역범죄,"18,726",25,-,32,"3,017",720,119,59,30,"14,724"
기타범죄,기타범죄,"216,197","10,602","8,094","9,178","29,494","18,949","18,350","16,976","24,489","80,065"
